1,89,90,88,86,91,93,75
2,88,92,88,87,80,92,84
3,91,94,89,91,84,94,90
4,88,85,83,92,91,88,83
5,89,93,83,88,82,92,80
6,89,93,84,83,85,92,86
7,89,14,12,56,17,13,27
8,88,13,11,68,16,12,47
9,92,93,86,93,90,95,90
10,60,52,45,81,64,47,62
11,91,93,87,92,86,94,92
12,83,83,86,79,81,86,91
13,89,91,79,88,89,91,73
14,73,64,62,88,81,75,66
15,90,11,13,59,12,11,11
16,83,86,75,83,78,90,75
17,82,14,18,70,18,20,51
18,72,68,69,78,83,80,44
19,85,13,20,64,14,13,23
20,66,65,56,71,65,72,54
21,39,29,32,74,26,39,45
22,91,94,88,94,87,89,76
23,83,12,8,59,18,14,24
24,78,79,78,79,78,83,68
25,73,69,62,80,79,81,52
26,56,59,35,65,45,70,52
27,84,15,11,56,13,16,25
28,85,14,14,65,10,11,25
29,81,77,82,89,86,76,73
30,76,72,76,79,82,78,82
31,53,40,34,77,67,49,40
32,72,64,59,89,82,75,46
33,69,63,47,81,70,70,90
34,83,10,15,56,14,9,40
35,84,88,84,78,82,96,70
36,80,13,13,57,12,12,29
37,61,60,64,60,58,78,64
38,82,15,16,64,20,15,15
39,69,62,63,82,75,78,55
40,61,55,32,76,65,77,55
41,33,25,14,67,20,35,33
42,82,82,71,85,86,85,60
43,69,72,70,68,66,77,53
44,72,68,82,75,73,75,75
45,87,91,85,86,80,90,88
46,85,88,79,87,75,86,88
47,71,63,67,82,78,73,79
48,80,82,67,78,80,91,70
49,83,84,76,84,83,83,80
50,85,83,88,84,89,82,84
51,54,40,61,71,65,59,60
52,81,12,14,55,14,14,18
53,82,13,12,59,13,12,17
54,86,83,87,88,88,86,90
55,83,83,72,81,88,81,88
56,50,45,40,68,47,54,44
57,77,76,78,83,73,84,70
58,74,69,65,80,84,67,69
59,76,73,80,77,79,81,73
60,83,88,90,80,76,86,74
61,41,42,40,50,30,30,56
62,81,86,70,79,78,86,67
63,82,5,9,61,9,6,13
64,79,84,72,76,76,82,65
65,80,82,74,83,81,82,59
66,48,30,46,78,62,42,32
67,82,83,77,84,83,82,74
68,84,86,83,87,82,86,68
69,80,81,75,79,81,83,80
70,63,51,57,86,69,68,63
71,84,87,82,82,79,88,82
72,70,73,75,64,66,83,59
73,62,67,50,61,54,76,60
74,85,90,84,79,80,86,82
75,80,74,84,90,84,77,80
76,84,84,75,87,83,85,76
77,67,64,71,71,62,69,89
78,74,66,68,82,81,81,76
79,86,89,81,83,82,85,85
80,82,81,74,85,82,82,81
81,78,76,75,86,78,79,66
82,84,90,85,87,65,90,85
83,67,68,56,66,67,77,53
84,78,79,59,82,77,82,64
85,59,50,45,82,66,44,40
86,83,87,80,82,80,86,67
87,72,69,66,83,72,80,50
88,83,86,79,85,75,89,69
89,84,10,10,57,12,11,24
90,81,13,8,62,12,15,24
91,84,84,87,86,81,84,79
92,54,53,46,62,51,62,42
93,69,65,69,79,64,69,90
94,78,77,72,79,82,78,72
95,80,10,12,49,19,12,23
96,82,84,70,80,82,82,79
97,86,87,88,86,84,90,82
98,81,83,80,79,77,85,84
99,81,82,78,83,80,82,76
100,71,66,56,86,78,70,49
101,81,14,13,57,19,10,24
102,80,75,74,85,87,79,81
103,69,61,76,79,75,73,59
104,76,76,72,76,79,81,58
105,54,51,49,68,47,75,45
106,35,34,27,43,31,29,37
107,83,16,13,62,16,12,42
108,49,46,42,52,53,55,43
109,84,87,85,84,74,89,85
110,78,76,76,76,81,80,87
111,59,57,64,71,49,57,68
112,41,25,27,65,60,31,41
113,46,36,50,66,48,48,42
114,82,15,13,59,18,15,20
115,79,78,67,78,84,84,80
116,77,79,75,73,78,82,64
117,64,54,58,79,70,76,66
118,59,50,58,74,65,38,74
119,79,76,78,83,84,82,73
120,80,78,82,82,77,83,87
121,81,80,81,84,78,85,76
122,84,87,79,86,77,90,67
123,46,33,45,78,49,28,50
124,77,76,71,80,78,78,66
125,75,77,71,78,74,77,56
126,81,80,80,86,84,84,62
127,73,80,67,73,64,79,50
128,87,86,83,90,85,84,89
129,77,80,74,80,72,82,63
130,45,47,32,48,40,47,43
131,80,74,79,87,87,80,77
132,73,69,68,79,81,75,64
133,80,80,74,84,82,81,63
134,50,48,34,62,42,64,60
135,74,69,70,83,81,78,59
136,81,80,84,86,80,81,71
137,70,66,62,83,69,77,52
138,35,26,35,49,37,39,47
139,79,81,80,74,78,82,73
140,80,79,83,80,81,85,68
141,75,75,74,80,73,78,60
142,66,64,59,74,63,77,60
143,64,61,50,74,65,58,71
144,81,81,75,81,83,82,69
145,74,77,83,71,65,81,74
146,40,33,32,56,45,37,27
147,76,73,60,84,78,74,88
148,83,85,74,80,81,85,84
149,77,77,74,79,76,80,82
150,62,50,68,80,69,64,57
151,79,80,66,84,77,84,65
152,75,75,76,76,77,79,63
153,85,88,78,84,82,88,73
154,47,32,34,73,57,52,41
155,71,70,63,80,69,79,55
156,77,75,76,83,76,77,75
157,80,78,79,86,85,80,62
158,74,65,82,85,82,62,76
159,78,79,58,84,78,78,60
160,68,69,60,72,68,73,54
161,43,33,33,70,37,47,52
162,79,79,67,77,85,81,67
163,64,63,50,69,64,80,49
164,77,74,76,82,78,82,77
165,82,83,78,84,77,86,75
166,79,14,17,58,13,14,24
167,82,88,76,79,72,85,75
168,73,68,64,85,80,68,56
169,46,48,52,51,36,43,40
170,79,77,72,83,79,82,78
171,77,78,66,77,76,78,86
172,80,10,10,56,10,10,12
173,38,28,41,58,40,42,42
174,82,82,75,86,83,81,68
175,51,56,38,61,35,56,43
176,71,66,67,86,70,72,64
177,82,87,79,86,69,86,75
178,84,86,80,83,86,86,66
179,46,37,33,73,48,25,38
180,78,77,77,79,79,81,69
181,50,49,38,68,36,58,43
182,75,70,70,84,80,75,65
183,77,75,75,79,83,80,58
184,68,63,75,74,70,81,56
185,61,65,57,62,51,66,69
186,78,12,15,59,14,13,26
187,74,73,71,77,75,78,64
188,62,54,56,76,68,62,54
189,77,11,9,52,14,9,20
190,72,70,81,72,71,84,75
191,82,11,11,59,13,10,22
192,82,82,85,82,81,88,79
193,75,75,76,78,75,76,56
194,76,76,79,77,76,82,72
195,51,52,44,55,44,52,52
196,77,73,74,83,80,81,67
197,72,69,56,81,75,76,67
198,67,66,59,74,64,77,61
199,78,76,73,83,80,81,74
200,79,15,16,60,17,12,24
201,80,79,79,82,80,82,89
202,73,74,68,75,71,80,59
203,66,64,60,72,69,70,59
204,81,19,19,55,18,12,23
205,72,69,64,77,80,73,60
206,75,79,71,76,68,86,55
207,83,82,75,87,88,79,69
208,37,32,33,60,26,33,38
209,32,36,25,37,20,32,36
210,78,75,71,85,81,75,68
211,82,81,76,84,86,83,75
212,78,78,79,81,79,80,54
213,80,78,82,85,77,87,78
214,61,61,58,62,59,75,52
215,69,68,66,72,67,77,72
216,65,52,61,79,79,77,54
217,77,77,79,78,80,79,54
218,80,12,13,65,17,11,27
219,59,55,53,79,46,55,67
220,80,83,83,83,65,87,88
221,39,35,37,44,42,38,43
222,81,85,80,80,71,83,79
223,68,63,64,75,74,66,68
224,76,13,15,59,11,11,24
225,83,83,90,85,81,84,82
226,73,78,68,67,70,78,60
227,74,76,67,73,76,76,66
228,82,83,78,86,75,84,78
229,56,49,51,75,60,56,38
230,74,77,70,72,69,82,70
231,76,74,76,79,77,82,66
232,70,67,50,78,75,75,55
233,79,80,74,79,76,86,74
234,66,69,56,68,61,84,44
235,81,85,58,81,78,81,75
236,77,14,16,64,15,18,25
237,78,79,74,77,77,80,75
238,63,67,38,68,54,74,48
239,81,74,70,92,88,80,84
240,81,81,80,84,74,82,92
241,43,38,44,53,41,38,56
242,87,15,19,64,19,11,15
243,60,58,65,74,47,78,52
244,83,84,84,83,78,84,84
245,71,74,70,77,57,79,61
246,77,19,20,65,13,18,45
247,74,69,74,83,78,75,60
248,36,38,31,37,29,42,41
249,66,60,36,82,72,72,55
250,85,84,87,86,85,88,80
251,56,42,37,81,74,52,39
252,82,13,17,53,20,15,22
253,80,77,81,85,79,79,82
254,78,75,76,82,80,82,81
255,80,12,16,58,11,13,32
256,83,86,86,86,69,87,90
257,54,55,37,74,41,31,61
258,68,61,63,82,76,62,59
259,55,45,38,78,58,52,58
260,82,81,79,84,82,79,79
261,55,46,51,68,60,62,66
262,79,75,78,82,86,80,70
263,78,73,80,84,85,74,67
264,41,27,31,65,53,30,37
265,49,55,48,50,30,49,70
266,69,60,68,83,76,73,60
267,75,76,67,69,78,77,74
268,75,69,62,87,83,80,53
269,49,42,48,61,50,51,51
