1,34,70,40,20,35,24
2,39,90,39,43,24,18
3,44,91,49,35,42,19
4,64,55,66,68,65,53
5,36,72,38,26,34,32
6,45,59,55,38,43,41
7,46,13,15,20,18,16
8,56,25,30,17,10,11
9,34,90,29,24,32,24
10,91,87,90,92,92,86
11,47,85,44,50,36,38
12,37,63,37,35,32,29
13,42,68,39,47,34,33
14,87,79,88,87,88,87
15,49,15,21,27,12,18
16,44,84,35,42,42,38
17,64,14,27,29,15,8
18,83,72,84,85,85,78
19,54,29,11,15,19,16
20,87,54,91,90,93,86
21,88,87,85,90,89,85
22,49,79,43,44,53,29
23,52,12,26,20,14,16
24,61,51,60,59,71,53
25,81,72,82,81,84,80
26,89,88,89,90,89,89
27,54,11,22,28,14,14
28,47,11,22,25,13,10
29,71,58,80,71,73,60
30,72,55,80,70,75,72
31,86,82,84,88,87,84
32,83,80,83,84,86,78
33,86,75,88,86,88,86
34,61,9,25,24,12,18
35,56,81,58,47,57,46
36,51,21,30,25,21,13
37,79,57,85,78,82,84
38,51,17,25,23,16,19
39,80,69,83,79,83,80
40,82,67,84,83,84,82
41,88,84,85,90,89,86
42,81,86,86,74,84,78
43,77,72,82,76,76,77
44,72,54,82,68,74,74
45,39,81,40,34,33,32
46,38,87,27,30,41,30
47,85,77,87,89,84,83
48,45,46,30,47,53,47
49,38,56,39,45,31,22
50,40,58,42,32,41,39
51,87,82,89,89,86,84
52,49,16,15,20,13,12
53,46,11,22,15,14,10
54,67,64,64,66,73,65
55,71,61,80,70,70,69
56,86,84,87,86,87,86
57,30,61,23,29,27,21
58,81,70,84,80,84,82
59,77,53,83,79,79,81
60,48,84,45,55,31,44
61,88,81,86,91,90,82
62,65,61,67,62,69,59
63,34,10,13,10,11,13
64,29,50,26,32,25,18
65,79,86,79,78,79,74
66,85,84,81,83,89,87
67,38,49,34,34,42,30
68,43,42,38,45,44,43
69,72,50,75,76,75,67
70,80,74,80,76,84,83
71,36,76,48,20,29,36
72,77,70,80,74,78,79
73,82,68,84,83,83,82
74,35,76,39,39,21,18
75,62,74,62,53,67,63
76,30,65,28,23,31,20
77,73,56,81,67,81,71
78,80,60,80,81,85,84
79,46,82,42,44,41,41
80,53,53,47,44,64,60
81,68,59,63,69,72,68
82,52,78,49,45,52,54
83,68,50,72,68,73,63
84,56,47,59,58,59,47
85,84,85,81,84,86,85
86,36,86,25,44,24,19
87,78,74,78,74,81,80
88,57,84,56,53,57,45
89,43,23,23,25,16,20
90,50,10,21,9,19,12
91,53,44,56,59,47,59
92,84,82,83,85,85,83
93,83,88,84,82,82,83
94,39,38,40,50,30,34
95,43,10,22,25,10,13
96,34,40,36,23,40,40
97,46,84,39,41,45,38
98,43,66,41,51,34,26
99,36,62,26,42,30,30
100,80,68,81,80,84,80
101,36,14,12,20,18,15
102,68,53,76,69,68,63
103,71,42,75,73,76,68
104,46,36,44,48,49,43
105,78,70,78,76,81,82
106,87,84,87,90,86,83
107,58,26,13,11,20,20
108,85,85,84,85,86,83
109,39,74,44,34,33,26
110,36,59,26,53,24,22
111,87,86,87,88,86,85
112,87,84,87,88,87,85
113,87,84,86,88,88,82
114,45,14,16,11,19,17
115,68,50,77,64,74,62
116,51,43,45,58,55,38
117,80,79,81,79,81,81
118,85,83,86,87,84,80
119,48,51,42,41,55,52
120,35,61,41,34,27,22
121,74,80,72,80,70,68
122,45,85,50,54,28,16
123,85,77,87,84,88,84
124,75,58,79,71,81,75
125,77,67,80,79,78,76
126,48,50,30,65,44,44
127,42,28,48,48,35,46
128,29,72,27,22,28,17
129,27,63,24,22,24,21
130,85,80,86,85,85,83
131,70,67,71,69,73,68
132,79,70,81,81,81,75
133,34,62,25,28,38,34
134,85,82,86,85,86,84
135,78,59,81,79,81,79
136,38,72,34,36,32,35
137,80,71,78,81,83,79
138,86,82,85,87,87,82
139,45,80,38,39,46,38
140,40,69,40,30,42,35
141,75,68,78,75,76,76
142,76,72,78,76,77,71
143,82,72,85,82,84,80
144,55,59,59,55,57,41
145,36,38,39,32,39,32
146,86,83,85,86,89,82
147,82,68,84,85,84,78
148,41,60,29,55,32,30
149,74,74,72,73,76,73
150,85,70,88,86,88,84
151,78,67,81,79,79,74
152,58,52,65,65,49,51
153,28,77,24,19,26,24
154,82,79,83,84,80,81
155,76,65,80,77,74,80
156,36,43,36,42,30,33
157,43,57,45,40,42,39
158,76,53,80,77,79,76
159,82,86,84,80,84,76
160,81,69,86,83,80,75
161,83,80,84,81,86,84
162,74,67,76,70,78,75
163,78,72,79,77,81,80
164,35,64,40,24,35,33
165,40,78,32,45,30,28
166,49,18,26,11,18,12
167,40,80,34,36,43,19
168,80,65,82,83,84,72
169,85,83,82,86,86,85
170,50,45,55,47,54,38
171,71,56,74,67,79,68
172,43,13,14,15,15,15
173,84,85,83,84,85,83
174,41,60,39,43,38,28
175,83,85,81,82,84,84
176,79,52,79,82,84,85
177,35,83,20,44,24,22
