1,6,11,15,14,8
2,13,11,5,5,7
3,15,6,12,8,10
4,15,13,5,10,13
5,13,5,7,11,6
6,14,14,9,11,14
7,84,89,75,89,90
8,87,88,91,91,88
9,7,11,15,14,11
10,13,10,13,11,11
11,8,10,11,14,11
12,9,9,15,15,11
13,11,13,13,6,10
14,13,14,16,12,12
15,86,90,78,87,89
16,10,10,15,7,14
17,87,82,93,88,88
18,8,15,7,15,15
19,86,85,85,90,89
20,15,12,10,7,10
21,7,8,13,7,12
22,7,14,13,11,7
23,90,83,79,85,89
24,9,10,14,12,9
25,6,9,15,14,14
26,6,6,12,10,13
27,89,84,75,87,89
28,86,85,87,85,90
29,10,11,13,7,10
30,13,9,7,14,9
31,14,15,10,12,8
32,10,10,7,14,8
33,13,12,6,8,8
34,88,83,74,84,88
35,6,7,11,14,14
36,88,80,76,84,89
37,12,12,15,15,10
38,85,82,85,85,89
39,14,15,14,6,7
40,11,8,10,7,14
41,7,11,7,13,5
42,13,8,15,11,9
43,7,13,10,10,9
44,6,11,7,9,13
45,6,8,15,12,6
46,8,15,14,7,10
47,5,7,14,15,9
48,15,12,12,15,9
49,15,9,13,11,6
50,5,4,4,5,8
51,9,12,5,9,10
52,86,81,73,86,87
53,84,82,79,85,87
54,12,14,15,8,14
55,5,9,12,14,8
56,10,11,5,14,5
57,5,3,5,3,5
58,8,8,15,11,8
59,11,5,13,14,11
60,11,8,8,8,13
61,10,13,12,8,12
62,5,6,10,15,7
63,84,82,81,85,88
64,5,7,7,7,10
65,7,10,7,16,7
66,15,7,14,7,15
67,15,9,8,14,15
68,14,10,10,9,7
69,11,14,5,5,13
70,12,6,16,15,8
71,6,9,15,9,9
72,13,15,13,6,13
73,5,8,13,9,13
74,12,16,9,12,13
75,5,6,2,4,3
76,8,14,6,12,10
77,14,7,13,14,8
78,8,14,13,13,14
79,15,12,7,12,10
80,9,11,9,10,10
81,13,14,12,12,13
82,15,14,7,15,11
83,12,7,11,8,8
84,8,15,6,10,13
85,12,11,11,12,10
86,11,15,8,9,14
87,12,10,7,7,7
88,7,12,15,9,11
89,85,84,76,83,85
90,78,81,82,86,90
91,12,12,13,13,11
92,10,7,8,14,10
93,11,8,9,7,11
94,8,11,12,9,6
95,80,80,65,90,85
96,7,10,8,10,4
97,27,25,31,33,37
98,11,11,14,9,16
99,5,6,5,5,6
100,11,13,9,9,7
101,84,81,76,84,86
